ID,Name,Distance (metres),Grade (%),KOM (seconds),QOM (seconds),Athletes,Category,Bearing
26736089,Biltema till Dalbyvägen,1220.300048828125,0.7,,,,0,
8808705,Tetra Pak Sprint,1009,-1.4,,,,0,
24224861,Skrylle 5k spåret stigning före spurten,502.2,3.6,,,,0,
24676527,Ge dig INTE!,657.5,2.5,,,,0,
23585178,Korsningen - Råby,616.9,0.5,,,,0,
28086549,Lundaloppet 2021 Råby (korrekt),3611.6,0,,,,0,
11730408,Kyrkan - Scoutgården,619.2000122070312,0.2,125,,151,0,
12590025,Lomma Kyrka -> S. västkustvägen,1081.2,0.1,230,,78,0,
31241333,Water Works Hill,110.1,4.8,,,,0,
26709634,Gula Furet från LMM - moturs,3008.5,0,,,,0,
24298065,Uppför 7 km backen ,404.79998779296875,5.4,,,,0,
18057666,Bron till grusvägen vid golfbanan,847.7000122070312,-0.20000000298023224,197,,34,0,
24835943,Regnbågen,873.8,-0.3,,,149,0,W
17557500,trupsrekÅ,505.9,0.4,100,110,639,0,SE
15991393,Habo Fure Yellow track 3k,2977.9,0,695,,47,0,SE
6678633,"Yellow tour in Furet, Lomma",2969.2,-1,,,,0,
10216660,Skryllebacken,484.7,5.7,132,,925,0,
14656651,negahtsäH,623.3,0.2,122,,621,0,SE
2182429,Flackarpsbacken,576.967,2.1,106,133,552,0,S
16509421,Lund Runt,26744.8,0.1,,,30,0,N
14983134,Spurten till Skryllegården,789.3,-1.5,160,,872,0,
14534571,Sunnanväg,878.2,0.1,,,227,0,NW
13247224,Källbybacken,415.5,2.8,85,111,656,0,NE
14515977,Sunnanvägen 1 km,1010.8,0.6,,,21,0,NE
22290259,Johans lunchspurt,263,-0.8,,,,0,
33509983,På stranden från Habo till piren,1571.8,0,,,,0,
7298013,Hill of Rabbits,745,2.2,148,170,391,0,NE
14534568,Klostergårdsvägen,668.3,-0.5,,,,0,
16788864,1000m intervallen,916.0999755859375,-0.5,,,,0,
19103363,Källbybacken,1085.5,0.4,,,,0,
19098130,Billebjer - SkrylleChallange,1120.1,-0.1,262,297,657,0,S
18941237,"Kisa, och så tror du att du är i Kenya ",1777.300048828125,-2,365,,24,0,
21938335,Billebjer grusvägen,496.1,-0.4,126,,47,0,
26072945,Backe sväng till sväng,129.10000610351562,6.9,,,,0,
12869107,Kolonin till St.Lars backen,1584.4,0.1,344,446,255,0,SE
8045950,Frozen Bunnies (HoR Winter),584,2.1,108,,234,0,
7621655,Lunds Reningsverksdammar (reverse),1536,0,316,393,598,0,NW
15163846,Around the ring reversed,868.5,0,155,184,46,0,NW
14656792,Gravel hill trail ,628.9,1.9,128,,433,0,
10546714,Around the ring,865.1,0,151,253,43,0,SE
16436668,"Spurten Skrylle 3, 5 och 10 km",449.9,-1.6,71,95,2756,0,W
3044093,3km Skrylle,2614,0.5,551,,319,0,
32835129,Virvelvindsvägen till östanväg,512.5,0.3,120,154,53,0,E
8922161,Skryllegården Bonusintervall,945.7000122070312,0.3,,,,0,
8737573,2-4-6-8 Motorway,920,0.8,187,,146,0,
7897897,Skrylle 2k gemensam ut,1972.0999755859375,0.2,385,,1075,0,
23825983,6k Skrylle ,5697,0,,,,0,
8498711,Hardeberga Grass Hill,528,5.7,122,,40,0,
19454910,5k skrylle Hitta starten!!,4809.5,0,,,,0,
4490359,Skryllemilen,9413.9,0.1,1967,2212,1693,0,N
23640804,Skåneleden - 13A Skrylleslingan,14869,0,3800,4730,414,0,NE
3197715,5km Skrylle,5197.66,0,1006,1083,673,0,NE
3180721,Linero - Dalby,6438.7001953125,0.20000000298023224,,,31,0,SE
4475076,Lund-Dalby,6407.2001953125,0.4000000059604645,,,83,0,SE
24501677,Skrylle MTB 2.0,10741.9,0.1,3365,3962,49,0,NE
35804649,Oskarfrids600,605.3,0,,,,0,
15704569,Korpavallen upp,217.7,0.3,36,,463,0,NE
5592218,Linero-E22 Cykelbanan bredvid Dalbyvägen,1436.699951171875,0,297,,199,0,
8955898,Reningsverket baksida,1540.199951171875,-0.6000000238418579,330,,179,0,
8305547,"Elfel, tåg inställt!",499,1.7,88,132,1068,0,NE
8624111,Tre högar bägge backarna,400.20001220703125,6,90,106,39,0,N
21711505,Dalbyvägen till Tre Högars park,381.29998779296875,5.599999904632568,80,99,52,0,N
14661185,Habo Ljung - cykelväg,875.7,-0.3,173,,243,0,
19893367,Klostergården runt,2252.4,-0.2,473,566,39,0,SE
19342861,Nya Lund Runt,27630.9,0,6220,7815,59,0,SW
31225115,Asfaltsrakan till Rögle,679.6,0.4,,,,0,
23707839,Slutspelsspurten Forza,308.2,0.5,54,81,250,0,NW
14534565,Mellanvångsvägen,537.5999755859375,-0.5,,,158,0,S
5540759,Lund-Kyrkheddinge-Genarp,17093.6,0.1,4786,0,1,0,SE
5821912,MÅRYD Climb,751.7000122070312,5.800000190734863,,,1,0,S
8756570,Rakan,1023.5,-0.30000001192092896,194,,44,0,SW
13439563,"Habo-skogen, östra sidan söderut",878.2999877929688,-0.4,,,,0,
7247742,Hardeberga Hillclimb A,2556,2,584,,161,0,
15704577,Korpavallen ner,228.8,-0.8,39,,101,0,
19098126,Rögle dammar - SkrylleChallange,1124.9,0,243,279,617,0,W
9140803,Ruben Rausing,422.7,-0.6,70,,510,0,S
31225152,Asfaltsrakan till Hardeberga,676.3,-0.4,,,,0,
18089043,Habo till Hamnen i Lomma,2011.4,0,,,,0,
24253207,Lundaloppet Segment Challenge - Hardebergaspåret,1117.4,1,213,234,1487,0,NE
8534901,Arena Service Road 400m,356,0.8,63,,456,0,
8665675,The Iron Horse,375,-0.4,65,,816,0,E
2154607,Nerför Flackarps byaväg,910,1.2,,,,0,
11704544,The Iron Horse Väst,393.5,0.3,65,,777,0,W
8498691,Traffic light at the end of the tunnel...,463,3.2,94,,106,0,
19342854,Sista 1.5 km LR,1581.9000244140625,1,,,,0,
17564426,Mejeriet-Högevall,458.5,0.1,81,,452,0,NW
8257775,Stadsparken sydlig CW,1167.5,0.10000000149011612,230,,202,0,NW
8045959,Mean Machine,611,-0.7,,,,0,
8305533,"Signalfejl, tog aflyst!",494,-1.7000000476837158,83,,394,0,SW
22692990,Testvarvet Ekmans,4977.9,0,942,1232,38,0,SE
8071612,Rådmansvången road lap,2224,0,451,,55,0,S
8168829,Rådmansvången road lap (anticlock),2271,0,,,26,0,W
7247759,Hardeberga Hillclimb B,1080,2.9,238,,177,0,
12182080,Stadsparkenkilometern,1058.2,1.8,203,262,427,0,E
20556578,Hardeberga Downhill,2725.5,-1.9,513,680,282,0,W
